S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Avg. Time (ns)
221,2201,0.326573935,0.350118421,0.338346178
222,2211,0.310248365,0.342791688,0.3265200265
223,2221,0.303742771,0.34569611,0.3247194405
224,2231,0.309927089,0.339130481,0.324528785
225,2241,0.302985514,0.336477195,0.3197313545
226,2251,0.30958956,0.334049921,0.3218197405
227,2261,0.316004787,0.34990287,0.3329538285
228,2271,0.31290196,0.339097001,0.3259994805
229,2281,0.307557358,0.334168512,0.320862935
230,2291,0.310812922,0.333966776,0.322389849
231,2301,0.308783947,0.33422605,0.3215049985
232,2311,0.298309668,0.348527064,0.323418366
233,2321,0.326982011,0.336990886,0.3319864485
234,2331,0.305549971,0.330919424,0.3182346975
235,2341,0.306102343,0.347892879,0.326997611
236,2351,0.318942446,0.347434386,0.333188416
237,2361,0.315361258,0.338506591,0.3269339245
238,2371,0.311722012,0.336004884,0.323863448
239,2381,0.313381492,0.329506079,0.3214437855
240,2391,0.305699358,0.331995775,0.3188475665
241,2401,0.320821111,0.343036005,0.331928558
