S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Avg. Time (ns)
49,481,0.01223658,0.01305989,0.012648235
50,491,0.017642532,0.01281253,0.015227531
51,501,0.0149371,0.01216901,0.013553055
52,511,0.012781889,0.011887543,0.012334716
53,521,0.012642179,0.012795553,0.012718866
54,531,0.012953307,0.012824233,0.01288877
55,541,0.012817382,0.012761995,0.0127896885
56,551,0.012785816,0.018284144,0.01553498
57,561,0.012886321,0.013111684,0.0129990025
58,571,0.012826753,0.013198225,0.013012489
59,581,0.011966456,0.012802728,0.012384592
60,591,0.012591276,0.012732761,0.0126620185
61,601,0.012501686,0.01290789,0.012704788
62,611,0.012707216,0.011686018,0.012196617
63,621,0.013237615,0.012861224,0.0130494195
64,631,0.012744299,0.012751672,0.0127479855
65,641,0.012771758,0.013191746,0.012981752
66,651,0.013113776,0.012447938,0.012780857
67,661,0.011801808,0.011942868,0.011872338
68,671,0.013022659,0.012851177,0.012936918
69,681,0.01214241,0.01760562,0.014874015
70,691,0.01217565,0.012765193,0.0124704215
71,701,0.013214252,0.01320618,0.013210216
72,711,0.012857605,0.012715894,0.0127867495
73,721,0.011710196,0.012998759,0.0123544775
74,731,0.020764787,0.013230805,0.016997796
75,741,0.01860706,0.012347997,0.0154775285
76,751,0.0130326,0.011934454,0.012483527
77,761,0.012021162,0.012841328,0.012431245
78,771,0.013309269,0.013621528,0.0134653985
79,781,0.01330636,0.012470831,0.0128885955
80,791,0.013383567,0.011981599,0.012682583
81,801,0.011842461,0.012913242,0.0123778515
82,811,0.013057708,0.013013221,0.0130354645
83,821,0.019319079,0.012812231,0.016065655
84,831,0.012098924,0.013151035,0.0126249795
85,841,0.013209794,0.013294478,0.013252136
86,851,0.011867156,0.017032277,0.0144497165
87,861,0.012236362,0.013814548,0.013025455
88,871,0.012884407,0.013077374,0.0129808905
89,881,0.013181686,0.013556915,0.0133693005
90,891,0.013067172,0.013257122,0.013162147
91,901,0.013015129,0.013051664,0.0130333965
92,911,0.013317107,0.013261081,0.013289094
93,921,0.012378876,0.01196795,0.012173413
94,931,0.012570953,0.013088899,0.012829926
95,941,0.013294288,0.01776558,0.015529934
96,951,0.018925806,0.012121229,0.0155235175
97,961,0.013419934,0.017618862,0.015519398
98,971,0.013055846,0.01307301,0.013064428
99,981,0.013035916,0.012952258,0.012994087
100,991,0.01221112,0.013362031,0.0127865755
101,1001,0.013340907,0.013203039,0.013271973
102,1011,0.012950461,0.013063993,0.013007227
103,1021,0.013288046,0.012016251,0.0126521485
104,1031,0.012804424,0.013107356,0.01295589
105,1041,0.013250933,0.01200165,0.0126262915
106,1051,0.013324811,0.013030105,0.013177458
107,1061,0.013689997,0.019719096,0.0167045465
108,1071,0.013190312,0.017887596,0.015538954
109,1081,0.012861577,0.013228231,0.013044904
110,1091,0.012392505,0.01343748,0.0129149925
111,1101,0.013161968,0.01355091,0.013356439
112,1111,0.012046732,0.013457642,0.012752187
113,1121,0.012953081,0.012079873,0.012516477
114,1131,0.012548024,0.012478925,0.0125134745
115,1141,0.0131484,0.012842291,0.0129953455
116,1151,0.013419515,0.011984928,0.0127022215
117,1161,0.013170268,0.013246296,0.013208282
118,1171,0.013045015,0.012973155,0.013009085
119,1181,0.011971375,0.013110302,0.0125408385
120,1191,0.013417248,0.012444113,0.0129306805
121,1201,0.012421207,0.012920877,0.012671042
122,1211,0.013309175,0.01361722,0.0134631975
123,1221,0.011948563,0.014262193,0.013105378
124,1231,0.013350855,0.013319289,0.013335072
125,1241,0.012979825,0.013283663,0.013131744
126,1251,0.0119791,0.012289218,0.012134159
127,1261,0.013500159,0.011923035,0.012711597
128,1271,0.012034107,0.01322992,0.0126320135
129,1281,0.012755508,0.01330293,0.013029219
130,1291,0.013037613,0.013375501,0.013206557
131,1301,0.013010672,0.012738697,0.0128746845
132,1311,0.011963141,0.012566749,0.012264945
133,1321,0.013236019,0.012815104,0.0130255615
134,1331,0.011942113,0.026672581,0.019307347
