S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Time (ns) - 3rd iteration,Avg. Time (ns)
227,228,0.086433567,0.136376794,0.105849044,0.109553135
228,229,0.096657771,0.075926476,0.108558629,0.093714292
229,230,0.101945763,0.091979702,0.103894777,0.099273414
230,231,0.06345198,0.086141492,0.08752552,0.079039664
231,232,0.08539325,0.072549855,0.061922719,0.073288608
232,233,0.091749659,0.102509946,0.058649931,0.0843031786666667
233,234,0.072199087,0.055584536,0.102075586,0.0766197363333333
234,235,0.084193047,0.110418446,0.11760491,0.104072134333333
235,236,0.08309082,0.064691592,0.10235276,0.0833783906666667
236,237,0.105107834,0.088545113,0.10828997,0.100647639
237,238,0.074310596,0.095333359,0.118441946,0.0960286336666667
238,239,0.13458512,0.123818874,0.092259548,0.116887847333333
239,240,0.077229412,0.053878558,0.111591236,0.0808997353333333
240,241,0.094628094,0.111512738,0.127963538,0.111368123333333
241,242,0.114349194,0.127459115,0.11674447,0.119517593
242,243,0.076100292,0.108450114,0.094224146,0.0929248506666667
243,244,0.086592972,0.108683188,0.110985339,0.102087166333333
244,245,0.07513402,0.111670561,0.109758498,0.0988543596666667
245,246,0.145060029,0.093637954,0.065686821,0.101461601333333
246,247,0.123094777,0.070518097,0.100480582,0.098031152
247,248,0.082315466,0.117969045,0.118000256,0.106094922333333
248,249,0.082135253,0.090915404,0.129755707,0.100935454666667
249,250,0.055256562,0.113070012,0.119186754,0.095837776
250,251,0.098762104,0.10973976,0.074272026,0.0942579633333334
251,252,0.121085302,0.087966587,0.083243217,0.097431702
252,253,0.110341152,0.0875701,0.097229678,0.09838031
253,254,0.152633448,0.102434452,0.113179746,0.122749215333333
254,255,0.149695856,0.17171559,0.105997558,0.142469668
255,256,0.141702546,0.14512418,0.1437147,0.143513808666667
256,257,0.128735772,0.124957197,0.107115493,0.120269487333333
257,258,0.116782825,0.135065933,0.159821074,0.137223277333333
258,259,0.105728436,0.112840795,0.122576142,0.113715124333333
259,260,0.151851619,0.173179244,0.119064922,0.148031928333333
260,261,0.124985789,0.138308677,0.156224315,0.139839593666667
261,262,0.088384503,0.132261417,0.124175748,0.114940556
262,263,0.097175857,0.134691141,0.146492,0.126119666
263,264,0.173218407,0.139106186,0.062828111,0.125050901333333
264,265,0.099179136,0.130200659,0.120034146,0.116471313666667
265,266,0.139451438,0.168092281,0.107093943,0.138212554
266,267,0.101737713,0.132838273,0.103588643,0.112721543
267,268,0.100519762,0.129198449,0.096897476,0.108871895666667
268,269,0.129699439,0.088551779,0.164835381,0.127695533
269,270,0.167550181,0.136623307,0.173898012,0.159357166666667
270,271,0.110801224,0.157304477,0.143264978,0.137123559666667
271,272,0.138160751,0.1327195,0.164405733,0.145095328
272,273,0.125212683,0.158337363,0.134933129,0.139494391666667
273,274,0.156312121,0.156835647,0.09822497,0.137124246
274,275,0.087979684,0.216316265,0.125937534,0.143411161
275,276,0.159686359,0.133999331,0.170403349,0.154696346333333
276,277,0.169434532,0.103702547,0.164833085,0.145990054666667
277,278,0.130235372,0.158548608,0.129904857,0.139562945666667
278,279,0.138069553,0.124795236,0.110965056,0.124609948333333
279,280,0.109460338,0.112064622,0.147217615,0.122914191666667
